feature,importance
INT_NbOfSeats_x_airlineOACICode_lag182_win20_mean,44
SysTerminal_lag365_win28_median,44
airlineOACICode_rolling_semester_min,44
INT_NbOfSeats_x_airlineOACICode_lag_3months_mean,44
Direction_lag_1month_median,44
INT_NbOfSeats_x_airlineOACICode_lag91_win20_mean,44
FlightNumberNormalized_trend_91D_vs_182D_max,44
FlightNumberNormalized_lag365_win28_std,44
IdAircraftType_trend_91D_vs_182D_max,43
SysTerminal_rolling_semester_median,43
SysTerminal_lag365_win28_max,43
SysTerminal_lag_3months_median,43
MOM_Direction_lag91_win20_median_year_over_year_lag365_win28,43
INT_NbOfSeats_x_IdAircraftType_lag30_win14_mean,42
Direction_trend_91D_vs_182D_max,42
INT_NbOfSeats_x_MOM_FlightNumberNormalized_rolling_month_mean_month_ratio_rolling_quarter,42
IdAircraftType_lag_1month_std,42
FlightNumberNormalized_lag365_win28_median,42
MOM_IdAircraftType_rolling_week_mean_accel_rolling_month.1,42
IdAircraftType_rolling_quarter_min,41
MOM_FlightNumberNormalized_rolling_quarter_std_season_ratio_rolling_year.1,41
MOM_IdAircraftType_lag30_win14_std_short_vs_mid_hist_lag91_win20,41
Direction_lag365_win28_max,41
IdAircraftType_lag_1month_max,40
IdAircraftType_lag30_win14_min,40
MOM_airlineOACICode_rolling_month_median_month_ratio_rolling_quarter,40
MOM_airlineOACICode_lag30_win14_std_short_vs_mid_hist_lag91_win20,40
MOM_SysTerminal_rolling_month_median_month_ratio_rolling_quarter,39
MOM_IdAircraftType_rolling_month_mean_month_ratio_rolling_quarter,39
FlightNumberNormalized_trend_182D_vs_365D_max,39
Direction_rolling_semester_median,39
MOM_Direction_rolling_month_median_month_ratio_rolling_quarter,39
airlineOACICode_rolling_year_min,39
FuelProvider,38
airlineOACICode_trend_91D_vs_182D_max,38
airlineOACICode_lag182_win20_median,38
MOM_airlineOACICode_rolling_week_std_accel_rolling_month.1,37
MOM_IdAircraftType_rolling_month_median_month_ratio_rolling_quarter,37
airlineOACICode_lag182_win20_max,37
IdAircraftType_lag_6months_max,37
MOM_airlineOACICode_rolling_week_mean_accel_rolling_month.1,37
sin_Minute,36
IdAircraftType_lag_1day_median,36
IdAircraftType_lag_1year_mean,36
IdAircraftType_lag_3months_max,36
FlightNumberNormalized_lag_3months_mean,36
MOM_IdAircraftType_rolling_week_std_accel_rolling_month.1,36
IdAircraftType_lag182_win20_max,35
MOM_airlineOACICode_lag91_win20_mean_year_over_year_lag365_win28,35
airlineOACICode_lag_3months_mean,35
airlineOACICode_lag365_win28_std,35
IdAircraftType_lag_3months_min,35
FlightNumberNormalized_lag91_win20_median,34
Direction_lag_1year_min,34
INT_NbOfSeats_x_airlineOACICode_lag_1month_mean,34
FlightNumberNormalized_trend_91D_vs_182D_min,34
IdAircraftType_lag365_win28_median,33
FlightNumberNormalized_lag182_win20_max,33
airlineOACICode_lag365_win28_mean,33
MOM_FlightNumberNormalized_rolling_quarter_median_season_ratio_rolling_year.1,33
MOM_Direction_rolling_month_std_month_ratio_rolling_quarter,33
INT_NbOfSeats_x_MOM_airlineOACICode_rolling_month_mean_month_ratio_rolling_quarter,33
airlineOACICode_lag_1year_mean,33
INT_NbOfSeats_x_IdAircraftType_lag365_win28_mean,32
airlineOACICode_trend_30D_vs_91D_min,31
MOM_airlineOACICode_rolling_quarter_mean_season_ratio_rolling_year.1,31
IdAircraftType_lag182_win20_median,31
MOM_SysTerminal_lag91_win20_median_year_over_year_lag365_win28,31
Direction_lag_6months_median,31
MOM_FlightNumberNormalized_rolling_week_median_accel_rolling_month.2,31
INT_NbOfSeats_x_FlightNumberNormalized_lag30_win14_mean,30
MOM_airlineOACICode_rolling_week_min_accel_rolling_month.1,30
SysTerminal_lag7_win6_min,30
MOM_airlineOACICode_rolling_month_std_month_ratio_rolling_quarter,30
MOM_IdAircraftType_lag30_win14_max_short_vs_mid_hist_lag91_win20,30
airlineOACICode_lag182_win20_min,29
MOM_FlightNumberNormalized_rolling_quarter_mean_season_ratio_rolling_year.1,29
airlineOACICode_lag_1month_min,29
airlineOACICode_lag365_win28_max,29
MOM_FlightNumberNormalized_rolling_month_std_month_ratio_rolling_quarter,29
MOM_IdAircraftType_rolling_week_max_accel_rolling_month.1,29
SysTerminal_rolling_month_median,29
IdAircraftType_lag365_win28_mean,29
MOM_airlineOACICode_rolling_month_mean_month_ratio_rolling_quarter,28
IdAircraftType_lag365_win28_std,28
MOM_airlineOACICode_rolling_quarter_std_season_ratio_rolling_year.1,28
Direction_rolling_year_median,28
airlineOACICode_lag_1day_std,28
IdAircraftType_lag_6months_min,27
MOM_IdAircraftType_lag30_win14_median_short_vs_mid_hist_lag91_win20,27
Direction_lag365_win28_median,27
INT_NbOfSeats_x_MOM_SysTerminal_rolling_month_mean_month_ratio_rolling_quarter,27
IdAircraftType_lag91_win20_max,27
MOM_SysTerminal_rolling_week_median_accel_rolling_month.1,27
FlightNumberNormalized_lag365_win28_mean,27
MOM_FlightNumberNormalized_lag30_win14_mean_short_vs_mid_hist_lag91_win20,26
MOM_IdAircraftType_rolling_month_std_month_ratio_rolling_quarter,26
SysTerminal_rolling_month_min,26
MOM_SysTerminal_lag30_win14_mean_short_vs_mid_hist_lag91_win20.1,26
MOM_FlightNumberNormalized_lag91_win20_median_year_over_year_lag365_win28,26
MOM_airlineOACICode_lag30_win14_max_short_vs_mid_hist_lag91_win20,26
Direction_lag_3months_median,25
MOM_Direction_lag91_win20_max_year_over_year_lag365_win28,25
SysTerminal_trend_7D_vs_14D_min,25
airlineOACICode_lag_6months_mean,24
INT_NbOfSeats_x_MOM_IdAircraftType_rolling_month_mean_month_ratio_rolling_quarter,24
MOM_Direction_rolling_month_max_month_ratio_rolling_quarter,24
INT_NbOfSeats_x_airlineOACICode_lag_6months_mean,24
MOM_FlightNumberNormalized_rolling_month_median_month_ratio_rolling_quarter.1,24
MOM_FlightNumberNormalized_rolling_week_mean_accel_rolling_month.2,24
FlightNumberNormalized_lag_6months_mean,24
INT_NbOfSeats_x_airlineOACICode_lag_1year_mean,23
MOM_Direction_rolling_month_mean_month_ratio_rolling_quarter,23
MOM_FlightNumberNormalized_lag30_win14_median_short_vs_mid_hist_lag91_win20,23
INT_NbOfSeats_x_FlightNumberNormalized_lag_3months_mean,23
MOM_FlightNumberNormalized_rolling_month_max_month_ratio_rolling_quarter,22
MOM_FlightNumberNormalized_rolling_month_min_month_ratio_rolling_quarter,22
MOM_FlightNumberNormalized_lag30_win14_min_short_vs_mid_hist_lag91_win20,22
airlineOACICode_lag30_win14_min,22
MOM_IdAircraftType_lag91_win20_max_year_over_year_lag365_win28,22
MOM_SysTerminal_rolling_week_mean_accel_rolling_month.1,22
MOM_FlightNumberNormalized_lag30_win14_std_short_vs_mid_hist_lag91_win20,22
MOM_SysTerminal_rolling_week_std_accel_rolling_month.1,22
FlightNumberNormalized_lag91_win20_max,22
MOM_SysTerminal_rolling_month_std_month_ratio_rolling_quarter,22
SysTerminal_lag_1year_median,22
MOM_IdAircraftType_lag30_win14_min_short_vs_mid_hist_lag91_win20,21
SysTerminal_lag_6months_median,21
MOM_FlightNumberNormalized_lag30_win14_max_short_vs_mid_hist_lag91_win20,21
MOM_IdAircraftType_rolling_quarter_mean_season_ratio_rolling_year.1,20
airlineOACICode_lag_1day_median,20
IdAircraftType_lag_1year_min,20
MOM_FlightNumberNormalized_rolling_week_max_accel_rolling_month.1,20
IdAircraftType_rolling_year_min,20
MOM_airlineOACICode_rolling_quarter_median_season_ratio_rolling_year.1,20
MOM_IdAircraftType_rolling_quarter_std_season_ratio_rolling_year.1,20
MOM_SysTerminal_lag30_win14_median_short_vs_mid_hist_lag91_win20.1,20
FlightNumberNormalized_lag365_win28_max,20
airlineOACICode_lag_1month_max,19
INT_NbOfSeats_x_MOM_Direction_rolling_month_mean_month_ratio_rolling_quarter,19
FlightNumberNormalized_lag_1month_min,19
sin_Month,19
MOM_IdAircraftType_rolling_week_min_accel_rolling_month,19
IdAircraftType_trend_14D_vs_30D_min,19
MOM_SysTerminal_rolling_month_mean_month_ratio_rolling_quarter,19
INT_NbOfSeats_x_IdAircraftType_lag_1year_mean,19
MOM_airlineOACICode_lag30_win14_median_short_vs_mid_hist_lag91_win20,18
MOM_SysTerminal_rolling_week_max_accel_rolling_month.1,18
MOM_SysTerminal_lag30_win14_std_short_vs_mid_hist_lag91_win20.1,18
MOM_IdAircraftType_rolling_quarter_median_season_ratio_rolling_year.1,18
IdAircraftType_trend_30D_vs_91D_min,18
INT_NbOfSeats_x_airlineOACICode_lag365_win28_mean,18
airlineOACICode_lag91_win20_min,17
MOM_FlightNumberNormalized_rolling_quarter_min_season_ratio_rolling_year.1,17
airlineOACICode_lag_1year_max,17
IdAircraftType_rolling_semester_min,17
MOM_SysTerminal_rolling_quarter_mean_season_ratio_rolling_year.1,17
FlightNumberNormalized_lag_1week_median,16
MOM_SysTerminal_lag91_win20_mean_year_over_year_lag365_win28.1,16
INT_NbOfSeats_x_FlightNumberNormalized_lag365_win28_mean,16
MOM_airlineOACICode_rolling_month_max_month_ratio_rolling_quarter,16
Direction_lag_1year_median,16
FlightNumberNormalized_lag_1year_min,16
MOM_SysTerminal_lag30_win14_max_short_vs_mid_hist_lag91_win20.1,15
SysTerminal_trend_91D_vs_182D_max,15
MOM_SysTerminal_lag91_win20_std_year_over_year_lag365_win28.1,15
MOM_airlineOACICode_rolling_quarter_max_season_ratio_rolling_year.1,15
ScheduleType,15
MOM_airlineOACICode_lag30_win14_mean_short_vs_mid_hist_lag91_win20,15
INT_NbOfSeats_x_FlightNumberNormalized_lag_6months_mean,15
SysTerminal_rolling_year_median,15
MOM_FlightNumberNormalized_rolling_quarter_max_season_ratio_rolling_year.1,15
airlineOACICode_lag_6months_min,15
MOM_IdAircraftType_lag91_win20_std_year_over_year_lag365_win28,15
MOM_SysTerminal_lag30_win14_min_short_vs_mid_hist_lag91_win20,15
MOM_airlineOACICode_lag91_win20_median_year_over_year_lag365_win28,14
MOM_SysTerminal_rolling_quarter_median_season_ratio_rolling_year.1,14
MOM_IdAircraftType_rolling_week_mean_accel_rolling_month.2,14
IdAircraftType_lag_1year_max,14
MOM_airlineOACICode_lag91_win20_std_year_over_year_lag365_win28,14
airlineOACICode_lag_3months_max,14
MOM_SysTerminal_rolling_quarter_std_season_ratio_rolling_year.1,13
MOM_airlineOACICode_lag30_win14_min_short_vs_mid_hist_lag91_win20,13
airlineOACICode_lag_3months_min,13
airlineOACICode_trend_91D_vs_182D_min,13
MOM_FlightNumberNormalized_lag91_win20_mean_year_over_year_lag365_win28,12
MOM_airlineOACICode_rolling_quarter_std_season_ratio_rolling_year.2,12
etl_origin,12
MOM_FlightNumberNormalized_lag91_win20_std_year_over_year_lag365_win28,12
IdAircraftType_lag_1month_median,12
MOM_airlineOACICode_rolling_week_median_accel_rolling_month.2,12
MOM_IdAircraftType_lag30_win14_mean_short_vs_mid_hist_lag91_win20.1,11
IdAircraftType_lag365_win28_max,11
IdAircraftType_lag_6months_std,11
MOM_IdAircraftType_rolling_month_max_month_ratio_rolling_quarter,11
MOM_SysTerminal_lag91_win20_median_year_over_year_lag365_win28.1,11
FlightNumberNormalized_lag365_win28_min,11
MOM_IdAircraftType_lag91_win20_median_year_over_year_lag365_win28,11
MOM_IdAircraftType_rolling_week_std_accel_rolling_month.2,11
MOM_FlightNumberNormalized_rolling_quarter_median_season_ratio_rolling_year.2,10
FlightNumberNormalized_lag_1day_median,10
MOM_SysTerminal_rolling_week_min_accel_rolling_month,10
INT_NbOfSeats_x_FlightNumberNormalized_lag_1year_mean,10
MOM_airlineOACICode_rolling_week_max_accel_rolling_month.1,10
MOM_FlightNumberNormalized_rolling_month_median_month_ratio_rolling_quarter.2,9
SysTerminal_trend_182D_vs_365D_max,9
MOM_airlineOACICode_lag30_win14_std_short_vs_mid_hist_lag91_win20.1,9
MOM_IdAircraftType_rolling_month_std_month_ratio_rolling_quarter.1,9
MOM_airlineOACICode_rolling_month_median_month_ratio_rolling_quarter.1,9
MOM_IdAircraftType_rolling_month_median_month_ratio_rolling_quarter.1,9
MOM_SysTerminal_rolling_month_max_month_ratio_rolling_quarter,9
MOM_airlineOACICode_rolling_month_mean_month_ratio_rolling_quarter.1,9
airlineOACICode_lag_6months_max,9
MOM_FlightNumberNormalized_lag91_win20_max_year_over_year_lag365_win28,9
MOM_FlightNumberNormalized_rolling_month_std_month_ratio_rolling_quarter.1,9
MOM_IdAircraftType_rolling_quarter_max_season_ratio_rolling_year.1,9
MOM_IdAircraftType_lag30_win14_max_short_vs_mid_hist_lag91_win20.1,8
MOM_IdAircraftType_rolling_week_median_accel_rolling_month.2,8
MOM_IdAircraftType_lag30_win14_std_short_vs_mid_hist_lag91_win20.1,8
airlineOACICode_lag_1year_min,8
MOM_airlineOACICode_lag91_win20_min_year_over_year_lag365_win28,8
FlightNumberNormalized_lag_3months_min,8
Quarter,8
MOM_FlightNumberNormalized_lag30_win14_min_short_vs_mid_hist_lag91_win20.1,8
MOM_FlightNumberNormalized_rolling_week_std_accel_rolling_month.2,8
FlightNumberNormalized_lag_6months_min,7
FlightNumberNormalized_lag_1week_std,7
MOM_IdAircraftType_lag30_win14_median_short_vs_mid_hist_lag91_win20.1,7
MOM_airlineOACICode_lag91_win20_median_year_over_year_lag365_win28.1,7
MOM_FlightNumberNormalized_rolling_month_min_month_ratio_rolling_quarter.1,7
MOM_airlineOACICode_lag91_win20_max_year_over_year_lag365_win28,7
MOM_IdAircraftType_rolling_month_mean_month_ratio_rolling_quarter.1,7
MOM_FlightNumberNormalized_lag30_win14_median_short_vs_mid_hist_lag91_win20.1,6
MOM_airlineOACICode_rolling_month_min_month_ratio_rolling_quarter,6
MOM_SysTerminal_rolling_month_median_month_ratio_rolling_quarter.1,6
MOM_IdAircraftType_rolling_week_max_accel_rolling_month.2,6
IdAircraftType_lag91_win20_min,6
MOM_IdAircraftType_lag91_win20_mean_year_over_year_lag365_win28,6
IdAircraftType_lag365_win28_min,6
MOM_FlightNumberNormalized_lag91_win20_median_year_over_year_lag365_win28.1,6
MOM_FlightNumberNormalized_rolling_quarter_mean_season_ratio_rolling_year.2,6
SysTerminal_lag182_win20_min,6
MOM_airlineOACICode_rolling_week_mean_accel_rolling_month.2,6
MOM_FlightNumberNormalized_rolling_week_min_accel_rolling_month.2,5
MOM_SysTerminal_rolling_week_min_accel_rolling_month.1,5
MOM_SysTerminal_rolling_month_mean_month_ratio_rolling_quarter.1,5
MOM_IdAircraftType_rolling_week_min_accel_rolling_month.1,5
MOM_airlineOACICode_rolling_month_std_month_ratio_rolling_quarter.1,5
MOM_airlineOACICode_lag91_win20_mean_year_over_year_lag365_win28.1,5
MOM_airlineOACICode_rolling_quarter_mean_season_ratio_rolling_year.2,5
MOM_IdAircraftType_lag91_win20_std_year_over_year_lag365_win28.1,5
IdAircraftType_lag_1year_median,5
MOM_FlightNumberNormalized_rolling_month_mean_month_ratio_rolling_quarter.2,5
IdAircraftType_lag_1year_std,5
MOM_IdAircraftType_lag91_win20_max_year_over_year_lag365_win28.1,5
MOM_FlightNumberNormalized_lag30_win14_mean_short_vs_mid_hist_lag91_win20.1,4
SysTerminal_rolling_quarter_min,4
SysTerminal_lag30_win14_min,4
MOM_SysTerminal_rolling_month_std_month_ratio_rolling_quarter.1,4
airlineOACICode_lag_3months_std,4
MOM_IdAircraftType_rolling_month_min_month_ratio_rolling_quarter,4
MOM_FlightNumberNormalized_lag91_win20_min_year_over_year_lag365_win28,4
MOM_FlightNumberNormalized_rolling_week_max_accel_rolling_month.2,4
airlineOACICode_trend_182D_vs_365D_min,4
MOM_IdAircraftType_rolling_quarter_mean_season_ratio_rolling_year.2,4
MOM_SysTerminal_rolling_quarter_max_season_ratio_rolling_year.1,4
MOM_FlightNumberNormalized_rolling_week_std_accel_rolling_month.3,4
Year,4
MOM_IdAircraftType_rolling_month_max_month_ratio_rolling_quarter.2,4
airlineOACICode_lag365_win28_min,4
MOM_FlightNumberNormalized_rolling_month_std_month_ratio_rolling_quarter.2,4
airlineOACICode_lag_1year_median,4
MOM_FlightNumberNormalized_rolling_week_median_accel_rolling_month.3,4
IdAircraftType_lag_6months_median,4
MOM_airlineOACICode_rolling_week_std_accel_rolling_month.2,4
MOM_airlineOACICode_rolling_week_min_accel_rolling_month.2,3
MOM_FlightNumberNormalized_rolling_week_mean_accel_rolling_month.3,3
MOM_FlightNumberNormalized_rolling_quarter_max_season_ratio_rolling_year.2,3
MOM_FlightNumberNormalized_lag30_win14_max_short_vs_mid_hist_lag91_win20.1,3
MOM_FlightNumberNormalized_lag91_win20_max_year_over_year_lag365_win28.1,3
MOM_airlineOACICode_lag91_win20_std_year_over_year_lag365_win28.2,3
MOM_IdAircraftType_lag30_win14_mean_short_vs_mid_hist_lag91_win20.2,3
MOM_SysTerminal_lag91_win20_max_year_over_year_lag365_win28.1,3
MOM_FlightNumberNormalized_lag91_win20_std_year_over_year_lag365_win28.1,3
MOM_airlineOACICode_lag91_win20_min_year_over_year_lag365_win28.1,3
MOM_airlineOACICode_rolling_week_median_accel_rolling_month.3,3
MOM_airlineOACICode_rolling_week_std_accel_rolling_month.3,3
MOM_airlineOACICode_rolling_quarter_max_season_ratio_rolling_year.2,3
SysTerminal_lag91_win20_min,3
MOM_airlineOACICode_rolling_month_max_month_ratio_rolling_quarter.1,3
MOM_FlightNumberNormalized_rolling_quarter_std_season_ratio_rolling_year.2,3
MOM_IdAircraftType_rolling_month_median_month_ratio_rolling_quarter.2,3
MOM_FlightNumberNormalized_lag91_win20_min_year_over_year_lag365_win28.1,3
MOM_IdAircraftType_rolling_quarter_median_season_ratio_rolling_year.2,3
MOM_IdAircraftType_lag91_win20_median_year_over_year_lag365_win28.1,2
FlightNumberNormalized_lag_1year_median,2
MOM_airlineOACICode_lag30_win14_mean_short_vs_mid_hist_lag91_win20.1,2
IdAircraftType_lag_3months_median,2
IdAircraftType_lag182_win20_min,2
airlineOACICode_lag_1year_std,2
MOM_FlightNumberNormalized_lag30_win14_median_short_vs_mid_hist_lag91_win20.2,2
MOM_airlineOACICode_lag30_win14_median_short_vs_mid_hist_lag91_win20.1,2
MOM_FlightNumberNormalized_rolling_month_mean_month_ratio_rolling_quarter.1,2
MOM_FlightNumberNormalized_rolling_quarter_median_season_ratio_rolling_year.3,2
MOM_airlineOACICode_lag91_win20_mean_year_over_year_lag365_win28.2,2
MOM_IdAircraftType_rolling_month_max_month_ratio_rolling_quarter.1,2
MOM_FlightNumberNormalized_rolling_month_median_month_ratio_rolling_quarter.3,2
MOM_IdAircraftType_lag30_win14_min_short_vs_mid_hist_lag91_win20.1,2
MOM_airlineOACICode_rolling_week_min_accel_rolling_month.3,2
MOM_SysTerminal_lag30_win14_min_short_vs_mid_hist_lag91_win20.1,2
MOM_airlineOACICode_rolling_quarter_median_season_ratio_rolling_year.2,2
MOM_FlightNumberNormalized_rolling_quarter_mean_season_ratio_rolling_year.3,2
airlineOACICode_lag_1month_median,2
MOM_IdAircraftType_rolling_quarter_std_season_ratio_rolling_year.2,2
MOM_IdAircraftType_rolling_month_mean_month_ratio_rolling_quarter.2,2
MOM_airlineOACICode_lag30_win14_max_short_vs_mid_hist_lag91_win20.2,2
MOM_airlineOACICode_lag91_win20_std_year_over_year_lag365_win28.1,2
MOM_FlightNumberNormalized_lag91_win20_median_year_over_year_lag365_win28.2,2
MOM_FlightNumberNormalized_lag91_win20_std_year_over_year_lag365_win28.2,2
MOM_FlightNumberNormalized_lag91_win20_mean_year_over_year_lag365_win28.1,2
SysTerminal_trend_14D_vs_30D_min,2
Semester,2
MOM_FlightNumberNormalized_rolling_quarter_min_season_ratio_rolling_year.2,2
MOM_airlineOACICode_rolling_week_max_accel_rolling_month.2,2
MOM_IdAircraftType_lag91_win20_median_year_over_year_lag365_win28.2,1
MOM_airlineOACICode_rolling_week_mean_accel_rolling_month.3,1
MOM_IdAircraftType_rolling_week_min_accel_rolling_month.2,1
MOM_IdAircraftType_lag30_win14_median_short_vs_mid_hist_lag91_win20.2,1
MOM_airlineOACICode_lag30_win14_min_short_vs_mid_hist_lag91_win20.2,1
MOM_airlineOACICode_lag30_win14_std_short_vs_mid_hist_lag91_win20.2,1
MOM_IdAircraftType_lag30_win14_min_short_vs_mid_hist_lag91_win20.2,1
MOM_IdAircraftType_lag30_win14_std_short_vs_mid_hist_lag91_win20.2,1
MOM_airlineOACICode_lag30_win14_max_short_vs_mid_hist_lag91_win20.3,1
MOM_airlineOACICode_lag30_win14_std_short_vs_mid_hist_lag91_win20.3,1
MOM_IdAircraftType_lag30_win14_max_short_vs_mid_hist_lag91_win20.2,1
MOM_airlineOACICode_lag30_win14_mean_short_vs_mid_hist_lag91_win20.2,1
MOM_IdAircraftType_lag91_win20_mean_year_over_year_lag365_win28.1,1
MOM_IdAircraftType_lag91_win20_min_year_over_year_lag365_win28.1,1
MOM_airlineOACICode_lag91_win20_min_year_over_year_lag365_win28.2,1
FlightNumberNormalized_lag_1month_max,1
MOM_FlightNumberNormalized_lag91_win20_max_year_over_year_lag365_win28.2,1
FlightNumberNormalized_lag_3months_median,1
FlightNumberNormalized_lag_3months_max,1
MOM_FlightNumberNormalized_rolling_week_min_accel_rolling_month.3,1
MOM_airlineOACICode_rolling_month_max_month_ratio_rolling_quarter.2,1
MOM_FlightNumberNormalized_rolling_week_max_accel_rolling_month.3,1
MOM_airlineOACICode_rolling_month_mean_month_ratio_rolling_quarter.2,1
MOM_FlightNumberNormalized_rolling_month_mean_month_ratio_rolling_quarter.3,1
MOM_airlineOACICode_rolling_month_std_month_ratio_rolling_quarter.2,1
MOM_FlightNumberNormalized_rolling_quarter_std_season_ratio_rolling_year.3,1
MOM_airlineOACICode_lag91_win20_median_year_over_year_lag365_win28.2,1
MOM_airlineOACICode_lag30_win14_min_short_vs_mid_hist_lag91_win20.1,1
MOM_FlightNumberNormalized_lag30_win14_std_short_vs_mid_hist_lag91_win20.2,1
MOM_airlineOACICode_lag30_win14_max_short_vs_mid_hist_lag91_win20.1,1
MOM_FlightNumberNormalized_rolling_week_std_accel_rolling_month.4,1
MOM_airlineOACICode_rolling_month_max_month_ratio_rolling_quarter.3,1
MOM_SysTerminal_rolling_month_max_month_ratio_rolling_quarter.1,1
MOM_IdAircraftType_lag91_win20_std_year_over_year_lag365_win28.2,1
MOM_IdAircraftType_rolling_month_std_month_ratio_rolling_quarter.2,1
MOM_IdAircraftType_rolling_quarter_max_season_ratio_rolling_year.2,1
MOM_airlineOACICode_rolling_quarter_std_season_ratio_rolling_year.3,1
MOM_airlineOACICode_rolling_quarter_mean_season_ratio_rolling_year.3,1
MOM_FlightNumberNormalized_lag30_win14_std_short_vs_mid_hist_lag91_win20.3,1
airlineOACICode_lag_6months_median,1
airlineOACICode_lag_6months_std,1
Direction_lag365_win28_min,1
Direction_lag91_win20_min,1
MOM_airlineOACICode_rolling_quarter_min_season_ratio_rolling_year.1,1
MOM_IdAircraftType_lag91_win20_min_year_over_year_lag365_win28,1
MOM_FlightNumberNormalized_rolling_month_max_month_ratio_rolling_quarter.1,1
MOM_FlightNumberNormalized_lag30_win14_max_short_vs_mid_hist_lag91_win20.2,1
MOM_FlightNumberNormalized_lag30_win14_std_short_vs_mid_hist_lag91_win20.1,1
FlightNumberNormalized_lag_1year_max,1
MOM_airlineOACICode_lag91_win20_max_year_over_year_lag365_win28.1,1
FlightNumberNormalized_lag_1month_median,1
MOM_FlightNumberNormalized_rolling_month_min_month_ratio_rolling_quarter.2,1
MOM_FlightNumberNormalized_rolling_quarter_max_season_ratio_rolling_year.3,0
MOM_SysTerminal_rolling_quarter_min_season_ratio_rolling_year,0
MOM_FlightNumberNormalized_rolling_month_std_month_ratio_rolling_quarter.3,0
Direction_lag7_win6_min,0
Direction_trend_30D_vs_91D_min,0
Direction_rolling_semester_min,0
Direction_rolling_quarter_min,0
FlightNumberNormalized_lag_6months_median,0
FlightNumberNormalized_lag_6months_std,0
FlightNumberNormalized_lag_3months_std,0
SysTerminal_trend_182D_vs_365D_min,0
SysTerminal_trend_91D_vs_182D_min,0
SysTerminal_trend_30D_vs_91D_min,0
SysTerminal_rolling_year_min,0
SysTerminal_lag365_win28_min,0
MOM_IdAircraftType_rolling_quarter_min_season_ratio_rolling_year.1,0
Direction_rolling_year_min,0
Direction_rolling_week_min,0
airlineOACICode_lag_3months_median,0
Direction_rolling_month_min,0
MOM_FlightNumberNormalized_lag30_win14_median_short_vs_mid_hist_lag91_win20.3,0
MOM_airlineOACICode_lag30_win14_median_short_vs_mid_hist_lag91_win20.2,0
MOM_FlightNumberNormalized_lag30_win14_mean_short_vs_mid_hist_lag91_win20.3,0
FlightNumberNormalized_lag_1year_std,0
LTExternalDatetime,0
AirportCode,0
NbFlight,0
MOM_FlightNumberNormalized_lag30_win14_min_short_vs_mid_hist_lag91_win20.2,0
SysTerminal_rolling_semester_min,0
MOM_FlightNumberNormalized_lag91_win20_mean_year_over_year_lag365_win28.2,0
FlightNumberNormalized_lag_1month_std,0
MOM_FlightNumberNormalized_lag91_win20_min_year_over_year_lag365_win28.2,0
MOM_FlightNumberNormalized_lag30_win14_mean_short_vs_mid_hist_lag91_win20.2,0
MOM_FlightNumberNormalized_rolling_month_max_month_ratio_rolling_quarter.2,0
IdAircraftType_trend_182D_vs_365D_min,0
MOM_airlineOACICode_rolling_month_min_month_ratio_rolling_quarter.1,0
MOM_IdAircraftType_rolling_quarter_min_season_ratio_rolling_year,0
MOM_airlineOACICode_rolling_quarter_min_season_ratio_rolling_year,0
IdAircraftType_trend_91D_vs_182D_min,0
MOM_FlightNumberNormalized_rolling_month_max_month_ratio_rolling_quarter.3,0
MOM_SysTerminal_rolling_month_min_month_ratio_rolling_quarter,0
FlightNumberNormalized_lag_6months_max,0
MOM_airlineOACICode_rolling_month_median_month_ratio_rolling_quarter.2,0
MOM_SysTerminal_lag91_win20_min_year_over_year_lag365_win28,0
MOM_FlightNumberNormalized_lag91_win20_min_year_over_year_lag365_win28.3,0
MOM_FlightNumberNormalized_lag30_win14_max_short_vs_mid_hist_lag91_win20.3,0
FlightNumberNormalized_lag_1day_std,0
MOM_FlightNumberNormalized_lag30_win14_min_short_vs_mid_hist_lag91_win20.3,0
MOM_FlightNumberNormalized_rolling_week_median_accel_rolling_month.4,0
MOM_FlightNumberNormalized_rolling_month_max_month_ratio_rolling_quarter.4,0
MOM_airlineOACICode_rolling_month_std_month_ratio_rolling_quarter.3,0
MOM_Direction_lag91_win20_min_year_over_year_lag365_win28,0
MOM_FlightNumberNormalized_lag91_win20_max_year_over_year_lag365_win28.4,0
MOM_airlineOACICode_lag91_win20_max_year_over_year_lag365_win28.3,0
MOM_IdAircraftType_lag91_win20_max_year_over_year_lag365_win28.2,0
MOM_IdAircraftType_lag91_win20_mean_year_over_year_lag365_win28.2,0
MOM_airlineOACICode_lag91_win20_mean_year_over_year_lag365_win28.3,0
MOM_FlightNumberNormalized_lag91_win20_mean_year_over_year_lag365_win28.4,0
MOM_airlineOACICode_rolling_quarter_median_season_ratio_rolling_year.3,0
MOM_FlightNumberNormalized_rolling_quarter_median_season_ratio_rolling_year.4,0
MOM_IdAircraftType_lag91_win20_min_year_over_year_lag365_win28.2,0
MOM_airlineOACICode_lag91_win20_min_year_over_year_lag365_win28.3,0
MOM_FlightNumberNormalized_lag91_win20_min_year_over_year_lag365_win28.4,0
MOM_FlightNumberNormalized_rolling_quarter_std_season_ratio_rolling_year.4,0
MOM_FlightNumberNormalized_rolling_quarter_min_season_ratio_rolling_year.4,0
MOM_airlineOACICode_rolling_quarter_min_season_ratio_rolling_year.3,0
MOM_IdAircraftType_rolling_quarter_min_season_ratio_rolling_year.2,0
